<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.05.27	33.6980	33.8980	33.6710	33.7250	1713	0	0
2015.05.28	33.7280	33.8570	33.6720	33.7540	1802	0	0
2015.05.29	33.7540	33.7710	33.5990	33.6700	1509	0	0
2015.06.01	33.6070	33.7470	33.6060	33.6130	809	0	0
2015.06.02	33.5830	33.8110	33.5830	33.6650	1534	0	0
2015.06.03	33.6740	33.7390	33.5880	33.6260	1252	0	0
2015.06.04	33.6210	33.7730	33.6060	33.6880	1319	0	0
2015.06.05	33.6920	33.9380	33.6810	33.8220	1820	0	0
2015.06.08	33.8790	33.9110	33.7160	33.7260	1724	0	0
2015.06.09	33.7140	33.7720	33.6770	33.6960	1095	0	0
2015.06.10	33.6950	33.7620	33.5700	33.5820	1454	0	0
2015.06.11	33.5700	33.7700	33.5600	33.6690	1340	0	0
2015.06.12	33.6660	33.7600	33.6400	33.6420	960	0	0
2015.06.15	33.6530	33.7430	33.6310	33.6690	830	0	0
2015.06.16	33.6660	33.7120	33.6410	33.6570	931	0	0
2015.06.17	33.6510	33.7720	33.5610	33.5630	1064	0	0
2015.06.18	33.5730	33.6560	33.5420	33.5940	1625	0	0
2015.06.19	33.5900	33.6860	33.5900	33.6460	889	0	0
2015.06.22	33.6510	33.6890	33.6070	33.6510	818	0	0
2015.06.23	33.6520	33.7820	33.6350	33.7490	1090	0	0
2015.06.24	33.7410	33.8020	33.6990	33.7490	888	0	0
2015.06.25	33.7550	33.8080	33.7350	33.7440	763	0	0
2015.06.26	33.7430	33.8140	33.7110	33.7630	740	0	0
2015.06.29	33.7890	33.8800	33.6890	33.7160	976	0	0
2015.06.30	33.6950	33.8140	33.6360	33.7830	1035	0	0
2015.07.01	33.7810	33.8220	33.7310	33.7970	491	0	0
2015.07.02	33.7920	33.8310	33.7470	33.7700	894	0	0
2015.07.03	33.7670	33.7940	33.6900	33.7270	639	0	0
2015.07.06	33.7250	33.8570	33.7090	33.8390	890	0	0
2015.07.07	33.8220	34.0090	33.8220	33.9740	1288	0	0
2015.07.08	33.9660	34.0560	33.8900	33.9180	1387	0	0
2015.07.09	33.8900	34.0400	33.7680	33.9230	785	0	0
2015.07.10	33.8890	33.9530	33.8370	33.9130	1070	0	0
2015.07.13	33.8800	34.0300	33.8710	34.0150	906	0	0
2015.07.14	33.9840	34.0600	33.9770	34.0280	1070	0	0
2015.07.15	34.0300	34.1670	33.9800	34.1640	1180	0	0
2015.07.16	34.1570	34.2290	34.0720	34.1440	1288	0	0
2015.07.17	34.0910	34.2200	34.0870	34.1960	811	0	0
2015.07.20	34.1350	34.4570	34.1020	34.4350	1397	0	0
2015.07.21	34.4320	34.4980	34.3160	34.3980	1581	0	0
2015.07.22	34.3850	34.7050	34.3160	34.6890	1560	0	0
2015.07.23	34.6940	34.9010	34.6070	34.6970	2437	0	0
2015.07.24	34.6990	34.9920	34.6380	34.8170	1446	0	0
2015.07.27	34.8070	34.9030	34.6470	34.8610	1346	0	0
2015.07.28	34.8410	34.9470	34.7510	34.8150	1120	0	0
2015.07.29	34.8250	34.9750	34.8000	34.9470	1341	0	0
2015.07.30	34.9040	35.1870	34.9010	35.0490	1799	0	0
2015.07.31	35.0100	35.2580	34.7570	34.9640	2388	0	0
2015.08.03	35.0110	35.0860	34.9730	35.0090	1282	0	0
2015.08.04	34.9840	35.1420	34.9490	35.0340	1818	0	0
2015.08.05	35.0170	35.1940	34.9130	35.1520	1866	0	0
2015.08.06	35.1430	35.1930	34.9660	35.0760	1179	0	0
2015.08.07	35.0730	35.2160	34.9980	35.1010	1394	0	0
2015.08.10	35.0600	35.2030	34.9770	35.0590	1050	0	0
2015.08.11	35.0330	35.4050	34.9240	35.3000	2576	0	0
2015.08.12	35.2670	35.5530	35.0770	35.1750	1952	0	0
2015.08.13	35.1250	35.2950	35.0080	35.1190	1884	0	0
2015.08.14	35.0670	35.3040	35.0040	35.1130	1476	0	0
2015.08.17	35.1790	35.5250	35.1220	35.4760	1709	0	0
2015.08.18	35.4640	35.6390	35.2560	35.4720	2288	0	0
2015.08.19	35.4440	35.6520	35.3920	35.4190	2018	0	0
2015.08.20	35.3800	35.6500	35.3190	35.5360	1452	0	0
2015.08.21	35.5340	35.7310	35.4340	35.6010	2130	0	0
2015.08.24	35.5140	35.8370	35.4890	35.5890	1807	0	0
2015.08.25	35.5300	35.6530	35.3370	35.4000	2127	0	0
2015.08.26	35.3800	35.6680	35.3380	35.5690	1746	0	0
2015.08.27	35.5300	35.6840	35.4850	35.5850	1413	0	0
2015.08.28	35.5050	35.9040	35.4820	35.7060	1981	0	0
2015.08.31	35.7100	35.9010	35.6970	35.7850	1319	0	0
2015.09.01	35.7700	35.8210	35.5680	35.6180	1545	0	0
2015.09.02	35.6100	35.7850	35.5870	35.6480	1154	0	0
2015.09.03	35.6520	35.8940	35.6100	35.6880	1572	0	0
2015.09.04	35.6780	35.9530	35.6480	35.8380	1358	0	0
2015.09.07	35.8490	36.1270	35.7960	35.9760	1091	0	0
2015.09.08	35.9800	36.2230	35.9480	35.9770	1497	0	0
2015.09.09	35.9600	36.1900	35.8700	36.0970	1966	0	0
2015.09.10	36.0270	36.2540	35.8670	35.9950	1608	0	0
2015.09.11	35.9260	36.1600	35.8810	35.9200	1610	0	0
2015.09.14	35.9210	36.0730	35.8750	35.9980	866	0	0
2015.09.15	35.9820	36.0780	35.8430	35.8890	1558	0	0
2015.09.16	35.8850	36.0330	35.8150	35.8460	1519	0	0
2015.09.17	35.8150	36.0750	35.4070	35.7220	1926	0	0
2015.09.18	35.7200	35.8500	35.3700	35.5780	2094	0	0
2015.09.21	35.5350	35.8530	35.5350	35.7990	1266	0	0
2015.09.22	35.7470	36.1320	35.7220	36.0130	1518	0	0
2015.09.23	36.0380	36.2390	35.9760	36.2080	1796	0	0
2015.09.24	36.1960	36.3670	36.0390	36.2020	1880	0	0
2015.09.25	36.1450	36.2630	36.0000	36.0630	1644	0	0
2015.09.28	36.0730	36.3730	36.0210	36.3570	1352	0	0
2015.09.29	36.3280	36.5050	36.2970	36.4060	1425	0	0
2015.09.30	36.4000	36.4190	36.2470	36.3130	1713	0	0
2015.10.01	36.3080	36.5050	36.2770	36.4810	1313	0	0
2015.10.02	36.4770	36.6550	36.3270	36.3380	1818	0	0
2015.10.05	36.3290	36.6620	36.1020	36.2240	1594	0	0
2015.10.06	36.1920	36.3880	36.1240	36.1910	1213	0	0
2015.10.07	36.2150	36.3100	35.7650	35.8700	2992	0	0
2015.10.08	35.8540	36.0820	35.6350	35.7450	1899	0	0
2015.10.09	35.7590	35.7610	35.3340	35.4450	2084	0	0
2015.10.12	35.4160	35.6170	35.2100	35.2960	1578	0	0
2015.10.13	35.3070	35.6770	35.2350	35.5950	2093	0	0
2015.10.14	35.6230	35.6620	35.0900	35.2720	1786	0	0
2015.10.15	35.2600	35.2870	35.0570	35.1260	1575	0	0
2015.10.16	35.1190	35.3340	35.0510	35.1280	1094	0	0
2015.10.19	35.1480	35.4870	35.1480	35.3000	1239	0	0
2015.10.20	35.3650	35.4970	35.3240	35.4010	1479	0	0
2015.10.21	35.3860	35.6910	35.0660	35.6550	1557	0	0
2015.10.22	35.6250	35.6530	35.4260	35.5180	1687	0	0
2015.10.23	35.4630	35.5810	35.2370	35.4400	1344	0	0
2015.10.26	35.4350	35.5960	35.4100	35.4630	1036	0	0
2015.10.27	35.4610	35.5250	35.4100	35.4390	1117	0	0
2015.10.28	35.4420	35.6720	35.2880	35.6110	1669	0	0
2015.10.29	35.6260	35.7120	35.2880	35.6370	1441	0	0
2015.10.30	35.6230	35.6360	35.4710	35.5670	1625	0	0
2015.11.02	35.4660	35.6330	35.4660	35.5480	1054	0	0
2015.11.03	35.5430	35.6070	35.4690	35.5240	1164	0	0
2015.11.04	35.5100	35.5540	35.4170	35.4830	1373	0	0
2015.11.05	35.4760	35.6100	35.3850	35.5390	1332	0	0
