Datetime,open,High,Low,Close,Volume,gold_spot_usd,usd_thb_rate
2026-02-20 12:45:00,74220,74231,74113,74167,1714,5029.48,31.183
2026-02-20 12:50:00,74165,74250,74145,74226,1632,5035.43,31.171
2026-02-20 12:55:00,74226,74263,74213,74235,1215,5034.73,31.179
2026-02-20 13:00:00,74237,74262,74215,74230,1317,5032.96,31.188
2026-02-20 13:05:00,74228,74244,74197,74215,949,5033.68,31.177
2026-02-20 13:10:00,74212,74240,74176,74181,811,5031.38,31.177
2026-02-20 13:15:00,74181,74213,74111,74181,1071,5031.38,31.177
2026-02-20 13:20:00,74180,74198,74127,74141,1110,5028.72,31.177
2026-02-20 13:25:00,74141,74159,74066,74140,1137,5028.78,31.176
2026-02-20 13:30:00,74143,74220,74104,74187,1427,5032.14,31.175
2026-02-20 13:35:00,74187,74209,74081,74096,1259,5026.44,31.172
2026-02-20 13:40:00,74096,74116,74039,74109,1434,5027.13,31.173
2026-02-20 13:45:00,74094,74132,73952,74053,2123,5022.73,31.177
2026-02-20 13:50:00,74053,74068,73952,74021,1686,5020.36,31.178
2026-02-20 13:55:00,74023,74030,73929,73974,1799,5017.37,31.177
2026-02-20 14:00:00,73986,74103,73945,74060,2605,5020.59,31.193
2026-02-20 14:05:00,74060,74107,74024,74093,1960,5023.15,31.191
2026-02-20 14:10:00,74097,74105,74039,74086,996,5022.38,31.193
2026-02-20 14:15:00,74081,74110,74002,74047,1440,5019.56,31.194
2026-02-20 14:20:00,74052,74063,73973,73996,1364,5015.65,31.197
2026-02-20 14:25:00,73999,74042,73901,73967,1300,5012.08,31.207
2026-02-20 14:30:00,73970,74117,73894,74088,2727,5021.06,31.202
2026-02-20 14:35:00,74091,74145,74078,74120,1698,5022.73,31.205
2026-02-20 14:40:00,74115,74161,74067,74155,1660,5025.27,31.204
2026-02-20 14:45:00,74160,74168,74082,74124,1096,5022.73,31.207
2026-02-20 14:50:00,74122,74134,74094,74123,862,5022.63,31.207
2026-02-20 14:55:00,74128,74173,74070,74148,1089,5025.27,31.201
2026-02-20 15:00:00,74135,74200,74104,74185,1483,5028.62,31.196
2026-02-20 15:05:00,74188,74202,74135,74148,1460,5026.76,31.192
2026-02-20 15:10:00,74155,74171,74123,74137,1201,5025.49,31.195
2026-02-20 15:15:00,74132,74197,74097,74172,1311,5029.52,31.185
2026-02-20 15:20:00,74176,74211,74107,74167,1313,5030.47,31.177
2026-02-20 15:25:00,74165,74184,74062,74072,1490,5029.0,31.146
2026-02-20 15:30:00,74124,74210,74020,74113,3454,5024.02,31.194
2026-02-20 15:35:00,74106,74187,74062,74179,3002,5029.18,31.19
2026-02-20 15:40:00,74182,74224,74132,74190,2429,5031.23,31.182
2026-02-20 15:45:00,74189,74377,74171,74332,2464,5041.14,31.18
2026-02-20 15:50:00,74317,74428,74307,74389,3471,5045.65,31.176
2026-02-20 15:55:00,74389,74430,74313,74335,2324,5043.64,31.166
2026-02-20 16:00:00,74333,74365,74283,74309,2541,5040.43,31.175
2026-02-20 16:05:00,74307,74421,74255,74394,2390,5045.01,31.182
2026-02-20 16:10:00,74391,74430,74312,74364,2174,5042.98,31.182
2026-02-20 16:15:00,74361,74404,74335,74370,1801,5042.43,31.188
2026-02-20 16:20:00,74358,74398,74305,74357,1807,5041.74,31.187
2026-02-20 16:25:00,74357,74401,74318,74393,1963,5041.56,31.203
2026-02-20 16:30:00,74400,74521,74307,74442,5086,5046.83,31.191
2026-02-20 16:35:00,74444,74533,74331,74469,4618,5047.57,31.198
2026-02-20 16:40:00,74466,74538,74355,74426,3693,5053.03,31.146
2026-02-20 16:45:00,74469,74615,74469,74540,3451,5057.56,31.166
2026-02-20 16:50:00,74541,74599,74488,74571,3575,5058.83,31.171
2026-02-20 16:55:00,74574,74583,74412,74444,3395,5054.44,31.145
2026-02-20 17:00:00,74501,74636,73875,74080,6224,5027.28,31.16
2026-02-20 17:05:00,74092,74180,73592,74017,6628,5022.22,31.165
2026-02-20 17:10:00,74017,74109,73788,73993,5263,5022.71,31.152
2026-02-20 17:15:00,74012,74298,73944,74150,6322,5035.95,31.136
2026-02-20 17:20:00,74150,74237,73981,74021,5459,5023.95,31.156
2026-02-20 17:25:00,74022,74068,73795,74031,5912,5025.56,31.15
2026-02-20 17:30:00,74034,74143,73927,74045,5751,5025.54,31.156
2026-02-20 17:35:00,74047,74211,73946,74171,5459,5036.54,31.141
2026-02-20 17:40:00,74171,74318,74031,74287,5012,5045.23,31.136
2026-02-20 17:45:00,74289,74407,74267,74332,4737,5047.28,31.142
2026-02-20 17:50:00,74332,74364,74166,74265,4831,5043.76,31.136
2026-02-20 17:55:00,74266,74300,74174,74258,4349,5042.77,31.139
